number;id;comments;title;createdAt;closedAt
2;MDU6SXNzdWU4NDUyNjUwMg==;{'totalCount': 1};Add tmux to recommended terminal multiplexers;2015-06-03T12:11:01Z;2015-06-08T02:05:19Z
5;MDU6SXNzdWU4ODU1Nzc3Mg==;{'totalCount': 0};"Additional ""everyday use"" keyboard shortcuts and useful commands";2015-06-15T22:32:34Z;
6;MDU6SXNzdWU4ODU2MjY0NA==;{'totalCount': 3};adding glances for system debugging section;2015-06-15T23:01:33Z;2015-06-16T02:10:59Z
14;MDU6SXNzdWU4ODU4Mjc1Nw==;{'totalCount': 3};key bindings;2015-06-16T01:19:52Z;2015-06-20T17:53:56Z
15;MDU6SXNzdWU4ODU4NDc3NA==;{'totalCount': 3};Note on scp and rsync;2015-06-16T01:28:58Z;
16;MDU6SXNzdWU4ODU4NjI1Ng==;{'totalCount': 0};StrictHostKeyChecking=no is maybe not the best idea?;2015-06-16T01:36:35Z;2015-06-16T02:32:04Z
19;MDU6SXNzdWU4ODYwMDU2MA==;{'totalCount': 2};x;2015-06-16T03:07:47Z;2015-06-16T03:08:41Z
22;MDU6SXNzdWU4ODYxMTgzNQ==;{'totalCount': 6};Is LC_ALL=C really sound advice?;2015-06-16T04:20:50Z;2015-06-16T05:06:26Z
23;MDU6SXNzdWU4ODYxNzI5Ng==;{'totalCount': 1};No mention of piping.;2015-06-16T04:53:44Z;2015-06-16T06:46:46Z
25;MDU6SXNzdWU4ODYyODE3Nw==;{'totalCount': 1};ctrl-u;2015-06-16T05:55:03Z;2015-06-20T07:40:24Z
26;MDU6SXNzdWU4ODY0NDMzMw==;{'totalCount': 5};"Change ""du -sk"" to ""du -sh"", better for humans";2015-06-16T07:25:23Z;2015-06-28T17:57:53Z
28;MDU6SXNzdWU4ODY0NTU5Mw==;{'totalCount': 0};pipe viewer;2015-06-16T07:32:38Z;2015-06-24T15:04:49Z
32;MDU6SXNzdWU4ODcwMTkxMQ==;{'totalCount': 2};"Mention the builtin ""help""";2015-06-16T11:43:11Z;2015-06-20T06:49:25Z
35;MDU6SXNzdWU4ODczMDM5MA==;{'totalCount': 1};Mention 'tee';2015-06-16T13:36:58Z;2015-06-20T17:52:49Z
36;MDU6SXNzdWU4ODczMDcyMA==;{'totalCount': 2};diff (and patch);2015-06-16T13:38:13Z;2015-06-20T17:10:06Z
37;MDU6SXNzdWU4ODczMTI2MA==;{'totalCount': 1};man latin;2015-06-16T13:39:58Z;2015-06-16T23:33:37Z
54;MDU6SXNzdWU4ODk4MjEzMA==;{'totalCount': 0};Link to http://explainshell.com/;2015-06-17T10:44:01Z;2015-06-18T03:38:59Z
